MaSV,Họ và đệm,Tên,Điểm 3
86384391,Đặng Đức,Khang,5.2
30349291,Đỗ Hữu,Hải,9.6
10362491,Trần Thu,Linh,7.6
47605042,Lê Công,Khang,6.1
86192870,Phan Ngọc,Linh,8.6
43709796,Bùi Thị,Châu,4.8
97021169,Phan Thị,Linh,6.6
85696560,Trần Hữu,Tuấn,9.8
77154509,Hoàng Bích,Hà,5.0
40954419,Phan Hữu,Cường,9.4
45031127,Vũ Văn,Dũng,7.6
56324651,Phạm Thị,Hoa,5.7
15382573,Phạm Thu,Anh,4.2
89824888,Phạm Quang,An,4.4
24502422,Nguyễn Thị,Hà,4.6
60162514,Vũ Thị,Diệp,6.4
45230240,Đỗ Mai,Lan,6.9
98215837,Đặng Đức,Minh,7.5
28918946,Phan Ngọc,Anh,7.8
95162687,Phạm Ngọc,Trang,4.4
75347782,Lê Minh,Quang,7.1
48812440,Nguyễn Đức,Hải,6.2
41166278,Bùi Văn,Cường,4.3
24844355,Đỗ Minh,Hải,4.6
16143714,Lê Bích,Ngọc,5.0
37983769,Nguyễn Thị,Mai,8.3
11513295,Trần Công,Minh,8.7
31289402,Phạm Minh,An,8.0
16168751,Hoàng Mai,Diệp,7.7
82402950,Lê Thị,Diệp,6.4
87124797,Trần Đức,Bình,9.3
51463948,Bùi Quang,Minh,5.6
27456261,Bùi Ngọc,Mai,7.0
26451927,Lê Mai,Trang,7.2
55477248,Bùi Mai,Mai,6.7
97390771,Lê Quang,Hưng,8.2
31844529,Đỗ Mai,Diệp,4.3
61364861,Trần Thu,Linh,4.4
41746407,Phạm Đức,Hưng,8.1
50246714,Đỗ Ngọc,Hà,7.5
73238466,Vũ Văn,Hưng,4.9
35832931,Đỗ Minh,Hưng,9.2
31456541,Phan Đức,Dũng,7.2
93989365,Hoàng Mai,Anh,7.7
73819474,Phan Thu,Linh,7.3
18040656,Bùi Thị,Hoa,9.6
92420682,Lê Công,Quang,4.3
15852398,Trần Hữu,Dũng,4.7
81847970,Đặng Bích,Diệp,7.5
52287594,Đỗ Bích,Hà,8.8
